epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,65.3813,0.69377,1.05769,1.07962,0.59195,1,0.995,0.69609,0.99732,2.61431,1.1395,0.000826964,0.000826964,0.000826964
60,66.6166,0.66385,1.11571,1.13535,0.60831,0.82492,0.82833,0.64563,0.86873,2.59626,1.15089,0.000835381,0.000835381,0.000835381
61,67.7553,0.69009,0.97577,0.91296,0.60831,0.82492,0.82833,0.64563,0.86873,2.59626,1.15089,0.0008436,0.0008436,0.0008436
62,68.9599,0.53106,1.24902,0.8664,0.60831,0.82492,0.82833,0.64563,0.86873,2.59626,1.15089,0.000851621,0.000851621,0.000851621
63,70.1104,0.51089,1.71069,0.98633,1,0.81827,0.995,0.74563,0.85192,2.66991,1.2478,0.000859444,0.000859444,0.000859444
64,71.2452,0.58229,1.07755,0.9859,1,0.81827,0.995,0.74563,0.85192,2.66991,1.2478,0.000867069,0.000867069,0.000867069
65,72.3625,0.69937,1.11276,1.04389,1,0.81827,0.995,0.74563,0.85192,2.66991,1.2478,0.000874496,0.000874496,0.000874496
66,73.498,0.71553,1.48409,1.04284,1,0.87885,0.995,0.66229,0.86898,2.5859,1.21357,0.000881725,0.000881725,0.000881725
67,74.6747,0.58656,1.05685,0.98365,1,0.87885,0.995,0.66229,0.86898,2.5859,1.21357,0.000888756,0.000888756,0.000888756
68,75.8053,0.56004,0.97649,0.99848,1,0.87885,0.995,0.66229,0.86898,2.5859,1.21357,0.000895589,0.000895589,0.000895589
69,76.972,0.72758,1.5632,1.03059,0.91515,0.5,0.66167,0.57888,0.78928,2.43646,1.08774,0.000902224,0.000902224,0.000902224
70,78.1639,0.61151,1.09812,1.00604,0.91515,0.5,0.66167,0.57888,0.78928,2.43646,1.08774,0.000908661,0.000908661,0.000908661
71,79.3212,0.73231,1.44275,1.18266,0.91515,0.5,0.66167,0.57888,0.78928,2.43646,1.08774,0.0009149,0.0009149,0.0009149
72,80.4419,0.58166,0.95102,1.09826,0.95082,0.5,0.745,0.62059,0.8157,2.32899,1.09118,0.000920941,0.000920941,0.000920941
73,81.8975,0.62841,0.99344,1.08665,0.95082,0.5,0.745,0.62059,0.8157,2.32899,1.09118,0.000926784,0.000926784,0.000926784
74,83.2009,0.78558,1.19695,1.18805,0.95082,0.5,0.745,0.62059,0.8157,2.32899,1.09118,0.000932429,0.000932429,0.000932429
75,84.4352,0.65631,1.08263,1.01679,0.7875,0.5,0.63786,0.51029,0.85679,2.74984,1.07552,0.000937876,0.000937876,0.000937876
76,85.6749,0.62737,0.96651,0.94149,0.7875,0.5,0.63786,0.51029,0.85679,2.74984,1.07552,0.000943125,0.000943125,0.000943125
